URI|Notation|Label|Parent|Beschreibung|Anmerkung|Applikationsschema|Thema|Status
https://registry.inspire.gv.at/codelist/stmLandUseValue/fAVillage|fAVillage|AF-Dorf||AF-Dorf sind unbebaute Lücken  im Bauland, die nach Vorliegen der rechtlichen Kriterien als Dorfgebiet erklärt werden können.|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/lunom|http://inspire.ec.europa.eu/theme/lu|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/stmLandUseValue/fAResidentialArea|fAResidentialArea|AF-Wohnen||AF-Wohnen sind unbebaute Lücken  im Bauland, die nach Vorliegen der rechtlichen Kriterien als Wohngebiet erklärt werden können.|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/lunom|http://inspire.ec.europa.eu/theme/lu|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/stmLandUseValue/dAVillage|dAVillage|AS-Dorf||AS-Dorf sind noch nicht vollwertige Dorfflächen, deren Herstellung aber zu erwarten ist und die nicht als Sanierungsgebiete ausgewiesen sind.|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/lunom|http://inspire.ec.europa.eu/theme/lu|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/stmLandUseValue/dAIndustry|dAIndustry|AS-Industrie||AS-Industrie sind noch nicht vollwertige Industrieflächen, deren Herstellung aber zu erwarten ist und die nicht als Sanierungsgebiete ausgewiesen sind.|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/lunom|http://inspire.ec.europa.eu/theme/lu|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/stmLandUseValue/dAResidentialArea|dAResidentialArea|AS-Wohnen||AS-Wohnen sind noch nicht vollwertige Wohnflächen, deren Herstellung aber zu erwarten ist und die nicht als Sanierungsgebiete ausgewiesen sind.|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/lunom|http://inspire.ec.europa.eu/theme/lu|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/stmLandUseValue/railway|railway|Bahn||Flächen die durch rechtwirksame überörtliche Festlegungen für den Bahnbetrieb festgelegt wurden.|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/lunom|http://inspire.ec.europa.eu/theme/lu|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/stmLandUseValue/villageAreas|villageAreas|Dorfgebiet||Dorfgebiet sind Flächen, die für Bauten  land- und forstwirtschaftlicher Nutzung in verdichteter Anordnung bestimmt sind.|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/lunom|http://inspire.ec.europa.eu/theme/lu|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/stmLandUseValue/shoppingCenters|shoppingCenters|Einkaufszentren||sind Flächen für Einkaufszentren.|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/lunom|http://inspire.ec.europa.eu/theme/lu|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/stmLandUseValue/openland|openland|Freiland||Alle nicht als Bauland und Verkehrsland festgelegte Grundflächen gehören zum Freiland. Im Freiland können Sondernutzungen festgelegt werden (z.B.: öffentliche Parkanlagen).|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/lunom|http://inspire.ec.europa.eu/theme/lu|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/stmLandUseValue/waterBodies|waterBodies|Gewässer||Ersichtlichmachung der überörtlich rechtwirksamen Festlegung Gewässer.|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/lunom|http://inspire.ec.europa.eu/theme/lu|http://inspire.ec.europa.eu/registry/status/valid
