URI|Notation|Label|Parent|Beschreibung|Anmerkung|Applikationsschema|Thema|Status
https://registry.inspire.gv.at/codelist/LISALandCoverClassValue/1_3_7_2_Ice|1_3_7_2_Ice|Eis|Schnee und Eis|Vorwiegend mit Gletscher und Firn bedeckte Flächen.|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/lcn|http://inspire.ec.europa.eu/theme/lc|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/LISALandCoverClassValue/1_2_5_BareRock|1_2_5_BareRock|Fels|nicht befestigte Fläche|Felsen und anstehendes festes Gestein. Anhäufungen von Gestein (Gesteinsfelder) werden ab einem durchschnittlichen Durchmesser von 2m als 'Fels/Gestein' ausgewiesen, darunter als 'Schotter/Sand'.|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/lcn|http://inspire.ec.europa.eu/theme/lc|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/LISALandCoverClassValue/1_1_1_Building|1_1_1_Building|Gebäude|befestigte Fläche|Überdachte, auf Dauer errichtete Bauwerke, die geeignet oder bestimmt sind, dem Schutz oder der Unterbringung von Menschen, Tieren oder Sachen zu dienen.|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/lcn|http://inspire.ec.europa.eu/theme/lc|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/LISALandCoverClassValue/2_4_10_Bushes|2_4_10_Bushes|Gebüsch|verholzt|Mit Krummholzbestände (z.B. Latsche), Büschen (z.B. Grünerle), Sträuchern (z.B. Hecken) bewachsene Flächen. Die Höhe liegt unter 5 m aber fast immer über 0,5 m. Der Deckungsgrad mit Gebüschen liegt dabei >50%. Jungwuchs und Dickungen mit einer Höhe < 5 m fallen ebenfalls in diese Klasse.|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/lcn|http://inspire.ec.europa.eu/theme/lc|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/LISALandCoverClassValue/2_5_12_Herbaceous|2_5_12_Herbaceous|Grünbewuchs|nicht verholzt|Sämtliche mit sichtbarer niedriger Vegetation (Gras oder Krautvegetation) bedeckte Flächen. Die innere Differenzierung des Grünbewuchse ('einzelne Schläge als getrennte Segmente' - Landschaftsstruktur) ist dabei mitzuerfassen. Der Deckungsgrad durch oberirdische Pflanzenteile muß mindestens 10% innerhalb der Referenzfläche einnehmen.|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/lcn|http://inspire.ec.europa.eu/theme/lc|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/LISALandCoverClassValue/2_5_12_1_HerbaceousPermanent|2_5_12_1_HerbaceousPermanent|Grünbewuchs dauerhaft|Grünbewuchs|Flächen, die über ein ganzes Jahr hinweg durch Grünbewuchs bedeckt sind und keine unterjährliche Bodenbearbeitung auzfweisen.|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/lcn|http://inspire.ec.europa.eu/theme/lc|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/LISALandCoverClassValue/2_5_12_2_HerbaceousPeriodically|2_5_12_2_HerbaceousPeriodically|Grünbewuchs periodisch|Grünbewuchs|Flächen, die im Laufe eines Jahres zumindest einmal eine Bodenbearbeitung aufweisen.|INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/lcn|http://inspire.ec.europa.eu/theme/lc|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/LISALandCoverClassValue/2_4_9_1_DeciduousTrees|2_4_9_1_DeciduousTrees|Laubbäume|bestockte Fläche||INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/lcn|http://inspire.ec.europa.eu/theme/lc|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/LISALandCoverClassValue/2_4_9_2_MixedTrees|2_4_9_2_MixedTrees|Mischung Laub/Nadel|bestockte Fläche||INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/lcn|http://inspire.ec.europa.eu/theme/lc|http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/LISALandCoverClassValue/2_4_9_3_ConiferousTrees|2_4_9_3_ConiferousTrees|Nadelbäume|bestockte Fläche||INSPIRE governance level: national-technical|http://inspire.ec.europa.eu/applicationschema/lcn|http://inspire.ec.europa.eu/theme/lc|http://inspire.ec.europa.eu/registry/status/valid
