URI	Notation	Label	Parent	Beschreibung	Anmerkung	Applikationsschema	Thema	Status
https://registry.inspire.gv.at/codelist/NaturraumregionenSTMK/aFB	aFB	Aflenzer Becken		Gut eingebuergerter Name fuer das inneralpine Becken am Suedfuß der Hochschwabgruppe. Es beinhaltet neben sanften Haengen und Riedeln aus tertiaeren Lockergesteinen auch z.T. sehr maechtige fluvioglaziale Sedimente des Pleistozaens in Form von Terrassenkoerpern. Die gewaehlte Begrenzung schließt im W die relativ schmale, genetisch jedoch klar dem Gebiet zugehoerige Talweitung von Etmißl mit ein, die uebrige Begrenzung ist geologisch und morphologisch recht klar vorgezeichnet. (Verfasser: Prof. Mag. Dr. Gerhard Karl LIEB)	INSPIRE governance level: national-technical	http://inspire.ec.europa.eu/applicationschema/br	http://inspire.ec.europa.eu/theme/br	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/NaturraumregionenSTMK/aUB	aUB	Ausseer Becken		Gut eingebuergerte Benennung des geraeumigen, von den Plateauraendern und Vorbergen der Dachsteingruppe und des Toten Gebirges eingefaßten Talkessels am Zusammenfluß der 3 Quellfluesse der Traun. Das weithin wellig-huegelige morphologische Erscheinungsbild des Beckens wird von Abtragungs- und Aufschuettungsformen der pleistozaenen Kaltzeiten gepraegt und greift in den glazialen Ausraeumungswannen des Altausseer und Grundlsees deutlich in den Gebirgskoerper des Toten Gebirges zurueck. (Verfasser: Prof. Mag. Dr. Gerhard Karl LIEB)	INSPIRE governance level: national-technical	http://inspire.ec.europa.eu/applicationschema/br	http://inspire.ec.europa.eu/theme/br	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/NaturraumregionenSTMK/bWW	bWW	Bucklige Welt		Gut eingebuergerte und den Landschaftscharakter recht gut beschreibende Bezeichnung fuer ein zum weitaus ueberwiegenden Teil auf niederoesterreichischem Gebiet gelegenes Bergland. Der steirische Anteil im Gebiet um Schaeffern besteht aus kristallinen Gesteinen und tertiaeren Blockschottern, seine Begrenzung gegen den Wechsel entlang des Tauchen- und Spitalbaches ist mehr eine Verlegenheitsloesung in Anlehnung an Mang 1984, weil das kompakte Massiv des Wechsels ganz allmaehlich in das unuebersichtliche Bergland der Buckligen Welt uebergeht. (Verfasser: Prof. Mag. Dr. Gerhard Karl LIEB)	INSPIRE governance level: national-technical	http://inspire.ec.europa.eu/applicationschema/br	http://inspire.ec.europa.eu/theme/br	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/NaturraumregionenSTMK/dSG	dSG	Dachsteingruppe		Gut eingebuergerter Name fuer ein vorherrschend aus Triaskalken (Dachsteinkalk) aufgebautes, extrem verkarstetes Massiv der Noerdlichen Kalkalpen mit vorherrschendem Hochgebirgscharakter vom Plateautypus, das im Hohen Dachstein, 2995 m, kulminiert. Die Begrenzung des Gebietes ist an allen Seiten klar vorgegeben, schließt jedoch auch zwei, vom zentralen Teil des Gebietes durch tief eingeschnittene Durchbruchstaeler scharf getrennte Kalkstoecke, den Sarstein, 1975 m, im N (jenseits der Koppenschlucht) und den Grimming, 2351 m, im E (jenseits des Steinpasses), sowie niedrige Vorlagerungen am Rande des Ennstales ein. Diese haben den Charakter von Mittelgebirgen im Sinne des Tiroler Sprachgebrauchs (stark glazial ueberformte alte Talbodenreste mit relativen Hoehen von meist etwa hundert bis mehrere hundert Metern ueber der Sohle des Haupttales) und umfassen die Ramsauterrasse sowie den Groebminger Mitterberg. (Verfasser: Prof. Mag. Dr. Gerhard Karl LIEB)	INSPIRE governance level: national-technical	http://inspire.ec.europa.eu/applicationschema/br	http://inspire.ec.europa.eu/theme/br	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/NaturraumregionenSTMK/eEA	eEA	Eisenerzer Alpen		Gut eingebuergerte Benennung fuer den die Liesing-Paltental-Furche im N begrenzenden Gebirgszug mit vorherrschendem Hochgebirgscharakter. Bedingt durch die Lage der Suedgrenze der Ennstaler Alpen fallen im aeußersten W zwei topographisch von diesem Hauptkamm isolierte Bergmassive (Lahngangkogel, 1778 m, und Duerrenschoeberl, 1737 m) hinzu. Auch im E gibt es zwei besonders eigenstaendige, jeweils als maechtige Hochgebirgsstoecke vom Plateautypus entwickelte Vorlagerungen, die auch als selbstaendige Teilgebiete gekennzeichnet wurden: Es sind dies die Kaiserschildgruppe (Hochkogel, 2105 m) noerdlich des Radmerhalses, die im Gegensatz zu den uebrigen, der palaeozoischen Grauwackenzone angehoerenden Eisenerzer Alpen geologisch ein Teil der Noerdlichen Kalkalpen ist, und der Stock des Reiting (Goeßeck, 2214 m), suedlich des Hohenecks. (Verfasser: Prof. Mag. Dr. Gerhard Karl LIEB)	INSPIRE governance level: national-technical	http://inspire.ec.europa.eu/applicationschema/br	http://inspire.ec.europa.eu/theme/br	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/NaturraumregionenSTMK/eNA	eNA	Ennstaler Alpen		In der geographischen und alpinistischen Literatur eingebuergerter, bei der Bevoelkerung jedoch kaum verwendeter Name fuer die Kalkhochalpen beiderseits des Durchbruchs der Enns durch diese im Gesaeuse. Sie sind vorherrschend aus Karbonatgesteinen der Trias aufgebaut und besitzen ueberwiegend Hochgebirgscharakter vom Kettengebirgstypus, der klassisch im westlichen Teilgebiet, den Haller Mauern (Gr. Pyhrgas, 2244 m), entwickelt ist, waehrend die Gesaeuseberge als oestliches Teilgebiet (Hochtor, 2369 m) in einzelne, physiognomisch besonders eindrucksvolle Massive aufgeloest sind. Die Begrenzung folgt weithin markanten Tiefenlinien, nur im S wurde die Grenze zu den Eisenerzer Alpen nicht in den Haupttaelern, sondern in Anlehnung an die geologischen Verhaeltnisse durch Seitentaeler und ueber niedrige Saettel gezogen. (Verfasser: Prof. Mag. Dr. Gerhard Karl LIEB)	INSPIRE governance level: national-technical	http://inspire.ec.europa.eu/applicationschema/br	http://inspire.ec.europa.eu/theme/br	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/NaturraumregionenSTMK/fST	fST	Feistritztal		Gut eingebuergerter Name, der hier nur den ausseralpinen, unteren Teil des Flusstales (unterhalb des Durchbruches bei Schloss Herberstein) bezeichnet (auch die Benennung Unteres Feistritztal erscheint moeglich). Es handelt sich um einen NW-SE gestreckten breiten Talraum aus fluvialen und fluvioperiglazialen Sedimenten. (Verfasser: Prof. Mag. Dr. Gerhard Karl LIEB)	INSPIRE governance level: national-technical	http://inspire.ec.europa.eu/applicationschema/br	http://inspire.ec.europa.eu/theme/br	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/NaturraumregionenSTMK/fBA	fBA	Fischbacher Alpen		Gut eingebuergerte Bezeichnung fuer den Ostfluegel des Steirischen Randgebirges im S des Muerztales, der im Stuhleck, 1782 m, kulminiert. Der Mittelgebirgszug, der nur in seinem hoechsten Teil die Waldgrenze ueberschreitet, besteht aus kristallinen Gesteinen, die suedlich des Mittleren Muerztales und im aeußersten E auf groeßeren Flaechen karbonatischen Charakter haben. Eine Untergliederung des Gebietes ist entlang der tiefen Einsattelungen (Eibeggsattel, Auf der Schanz, Alpl-Waldheimat und Pfaffensattel) moeglich, wurde jedoch mangels geeigneter Namen fuer die einzelnen Teile nicht vollzogen. (Verfasser: Prof. Mag. Dr. Gerhard Karl LIEB)	INSPIRE governance level: national-technical	http://inspire.ec.europa.eu/applicationschema/br	http://inspire.ec.europa.eu/theme/br	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/NaturraumregionenSTMK/gNA	gNA	Gleinalpe		Gut eingebuergerter Name fuer den im Lenzmoarkogel, 1991 m, kulminierenden nordoestlichsten Teil des Steirischen Randgebirges rechts der Mur. Der auf groeßeren Flaechen in seinem Zentrum die Waldgrenze ueberschreitende Zug hat vorherrschend Mittelgebirgscharakter und wird von kristallinen Gesteinen (mit bemerkenswerter Haeufigkeit von Amphiboliten) aufgebaut. Die Begrenzung zur StSteiermarklpe entlang der Tiefenlinie Rachaugraben - Stierkreuz - Schrottgraben ist problematisch; als Teilgebiet kann zwanglos die Hochalpe (genauer: Brucker Hochalpe) im NE des Sattels beim Almwirt, 1170 m, ausgesondert werden (hoechster Gipfel Roßeck, 1664 m).  (Verfasser: Prof. Mag. Dr. Gerhard Karl LIEB)	INSPIRE governance level: national-technical	http://inspire.ec.europa.eu/applicationschema/br	http://inspire.ec.europa.eu/theme/br	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/NaturraumregionenSTMK/gGB	gGB	Gratwein-Gratkorner Becken		Wenig eingebuergerte Bezeichnung, oft nur Gratkorner Becken genannt. Das Herzstueck dieses Beckens, das im SW zum Vorland (Weststeirisches Riedelland) hin offen ist, bildet eine weithin von Siedlungs-, Verkehrs- und Industrieflaechen eingenommene Talweitung der Mur mit ausgedehnten fluvialen und fluvioglazialen Akkumulationen. Der oestl. und suedwestl. Teil des Beckens bestehen hingegen aus tertiaerem Lockermaterial und aehneln daher den Riedellaendern des Vorlandes. Im SE von Rein, das in einer seitlichen, selbst beckenartigen Talweitung liegt, mußten auch einige geologisch dem Grazer Bergland zugehoerige Erhebungen einbezogen werden. (Verfasser: Prof. Mag. Dr. Gerhard Karl LIEB)	INSPIRE governance level: national-technical	http://inspire.ec.europa.eu/applicationschema/br	http://inspire.ec.europa.eu/theme/br	http://inspire.ec.europa.eu/registry/status/valid
